date,company,notice_text,url,title,benefit_amt,benefit_type,cond_type,cond_plan_price,summary
2026-09-12 19:43:20,SKT 다이렉트,전월 실적 50만 원 이상 기본 1만 5천 원,https://shop.tworld.co.kr/nf/index_nf_yp_plan.html?exhibitionId=P00000513,"제휴카드 혜택 모음매월 통신비 부담, 이렇게 줄여보세요!",0,NO_BENEFIT,ETC,0,
2026-09-12 19:43:20,SKT 다이렉트,24개월 할부 시 최대 76만 8천 원,https://shop.tworld.co.kr/nf/index_nf_yp_plan.html?exhibitionId=P00000513,"제휴카드 혜택 모음매월 통신비 부담, 이렇게 줄여보세요!",0,NO_BENEFIT,ETC,0,
2026-09-12 19:43:20,SKT 다이렉트,전월 실적 40만 원 이상 기본 1만 원,https://shop.tworld.co.kr/nf/index_nf_yp_plan.html?exhibitionId=P00000513,"제휴카드 혜택 모음매월 통신비 부담, 이렇게 줄여보세요!",0,NO_BENEFIT,ETC,0,
2026-09-12 19:43:20,SKT 다이렉트,24개월 할부 시 최대 67만 2천 원,https://shop.tworld.co.kr/nf/index_nf_yp_plan.html?exhibitionId=P00000513,"제휴카드 혜택 모음매월 통신비 부담, 이렇게 줄여보세요!",0,NO_BENEFIT,ETC,0,
2026-09-12 19:43:20,SKT 다이렉트,전월 실적 30만 원 이상 기본 1만 원,https://shop.tworld.co.kr/nf/index_nf_yp_plan.html?exhibitionId=P00000513,"제휴카드 혜택 모음매월 통신비 부담, 이렇게 줄여보세요!",0,NO_BENEFIT,ETC,0,
2026-09-12 19:43:20,SKT 다이렉트,24개월 할부 시 최대 62만 4천 원,https://shop.tworld.co.kr/nf/index_nf_yp_plan.html?exhibitionId=P00000513,"제휴카드 혜택 모음매월 통신비 부담, 이렇게 줄여보세요!",0,NO_BENEFIT,ETC,0,
2026-09-12 19:43:20,SKT 다이렉트,36개월 할부 시 최대 93만 6천 원,https://shop.tworld.co.kr/nf/index_nf_yp_plan.html?exhibitionId=P00000513,"제휴카드 혜택 모음매월 통신비 부담, 이렇게 줄여보세요!",0,NO_BENEFIT,ETC,0,
2026-09-12 19:43:20,SKT 다이렉트,전월 실적 30만 원 이상 기본 8천 원,https://shop.tworld.co.kr/nf/index_nf_yp_plan.html?exhibitionId=P00000513,"제휴카드 혜택 모음매월 통신비 부담, 이렇게 줄여보세요!",0,NO_BENEFIT,ETC,0,
2026-09-12 19:43:20,SKT 다이렉트,24개월 할부 시 최대 60만 원,https://shop.tworld.co.kr/nf/index_nf_yp_plan.html?exhibitionId=P00000513,"제휴카드 혜택 모음매월 통신비 부담, 이렇게 줄여보세요!",0,NO_BENEFIT,ETC,0,
2026-09-12 19:43:20,SKT 다이렉트,전월 실적 40만 원 이상 기본 1만 1천 원,https://shop.tworld.co.kr/nf/index_nf_yp_plan.html?exhibitionId=P00000513,"제휴카드 혜택 모음매월 통신비 부담, 이렇게 줄여보세요!",0,NO_BENEFIT,ETC,0,
